"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_6315","Commissions sur cartes de crédit","6315","account.data_account_type_expenses","l10n_ohada.gc_631","l10n_ohada.ohada_chart_template",,,
"pcg_6316","Frais sur instruments monnaie électronique","6316","account.data_account_type_expenses","l10n_ohada.gc_631","l10n_ohada.ohada_chart_template",,,
"pcg_6318","Autres frais bancaires","6318","account.data_account_type_expenses","l10n_ohada.gc_631","l10n_ohada.ohada_chart_template",,,
"pcg_6322","Commissions et courtages sur ventes","6322","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_6324","Honoraires des professions réglementées","6324","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_6325","Frais d'actes et de contentieux","6325","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_6326","Rémunération d'affacturage","6326","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_6327","Rémunération des autres prestataires de service","6327","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_6328","Divers frais","6328","account.data_account_type_expenses","l10n_ohada.gc_632","l10n_ohada.ohada_chart_template",,,
"pcg_633","FRAIS DE FORMATION DU PERSONNEL","633","account.data_account_type_expenses","l10n_ohada.gc_63","l10n_ohada.ohada_chart_template",,,
"pcg_6342","Redevances pour brevets, licences","6342","account.data_account_type_expenses","l10n_ohada.gc_634","l10n_ohada.ohada_chart_template",,,
"pcg_6343","Redevances pour logiciels","6343","account.data_account_type_expenses","l10n_ohada.gc_634","l10n_ohada.ohada_chart_template",,,
"pcg_6344","Redevances pour marques","6344","account.data_account_type_expenses","l10n_ohada.gc_634","l10n_ohada.ohada_chart_template",,,
"pcg_6345","Redevances pour sites internet","6345","account.data_account_type_expenses","l10n_ohada.gc_634","l10n_ohada.ohada_chart_template",,,
"pcg_6346","Redevances pour concessions, droits et valeurs similaires","6346","account.data_account_type_expenses","l10n_ohada.gc_634","l10n_ohada.ohada_chart_template",,,
"pcg_6351","Cotisations","6351","account.data_account_type_expenses","l10n_ohada.gc_635","l10n_ohada.ohada_chart_template",,,
"pcg_6358","Concours divers","6358","account.data_account_type_expenses","l10n_ohada.gc_635","l10n_ohada.ohada_chart_template",,,
"pcg_6371","Personnel intérimaire","6371","account.data_account_type_expenses","l10n_ohada.gc_637","l10n_ohada.ohada_chart_template","l10n_ohada.brs_col_service_5",,
"pcg_6372","Personnel détaché ou prêté à l'entreprise","6372","account.data_account_type_expenses","l10n_ohada.gc_637","l10n_ohada.ohada_chart_template","l10n_ohada.brs_col_service_5",,
"pcg_6381","Frais de recrutement du personnel","6381","account.data_account_type_expenses","l10n_ohada.gc_638","l10n_ohada.ohada_chart_template",,,
"pcg_6382","Frais de déménagement","6382","account.data_account_type_expenses","l10n_ohada.gc_638","l10n_ohada.ohada_chart_template",,,
"pcg_6383","Réceptions","6383","account.data_account_type_expenses","l10n_ohada.gc_638","l10n_ohada.ohada_chart_template",,,
"pcg_6384","Missions","6384","account.data_account_type_expenses","l10n_ohada.gc_638","l10n_ohada.ohada_chart_template",,,
"pcg_6385","Charges de copropriété","6385","account.data_account_type_expenses","l10n_ohada.gc_638","l10n_ohada.ohada_chart_template",,,
"pcg_6411","Impôts fonciers et taxes annexes","6411","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_6412","Patentes, licences et taxes annexes","6412","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_6413","Taxes sur appointements et salaires","6413","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_6414","Taxes d'apprentissage","6414","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_6415","Formation professionnelle continue","6415","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_6418","Autres impôts et taxes directs","6418","account.data_account_type_expenses","l10n_ohada.gc_641","l10n_ohada.ohada_chart_template",,,
"pcg_645","IMPÔTS ET TAXES INDIRECTS","645","account.data_account_type_expenses","l10n_ohada.gc_64","l10n_ohada.ohada_chart_template",,,
"pcg_6461","Droits de mutation","6461","account.data_account_type_expenses","l10n_ohada.gc_646","l10n_ohada.ohada_chart_template",,,
